duration : 2, tx :23812, rx :5361, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1

duration : 4, tx :48720, rx :5901, txbr :99, rxbr :2, txAudioBr :81, rxAudioBr :0, users :1

duration : 6, tx :72497, rx :6243, txbr :95, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 8, tx :96964, rx :6812, txbr :97, rxbr :2, txAudioBr :83, rxAudioBr :0, users :1

duration : 10, tx :120847, rx :7106, txbr :95, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 12, tx :141863, rx :7598, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 14, tx :158286, rx :7723, txbr :65, rxbr :0, txAudioBr :54, rxAudioBr :0, users :1

duration : 16, tx :175561, rx :8167, txbr :68, rxbr :1, txAudioBr :54, rxAudioBr :0, users :1

duration : 18, tx :192421, rx :8736, txbr :67, rxbr :2, txAudioBr :55, rxAudioBr :0, users :1

duration : 20, tx :211469, rx :8982, txbr :76, rxbr :0, txAudioBr :64, rxAudioBr :0, users :1

duration : 22, tx :235359, rx :9426, txbr :95, rxbr :1, txAudioBr :81, rxAudioBr :0, users :1

duration : 24, tx :258723, rx :9797, txbr :93, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 26, tx :282650, rx :10241, txbr :95, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 28, tx :306551, rx :10564, txbr :95, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 30, tx :330066, rx :10858, txbr :94, rxbr :1, txAudioBr :83, rxAudioBr :0, users :1

duration : 32, tx :353617, rx :11302, txbr :94, rxbr :1, txAudioBr :81, rxAudioBr :0, users :1

duration : 34, tx :377630, rx :11625, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 36, tx :401007, rx :11919, txbr :93, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 38, tx :424696, rx :12440, txbr :94, rxbr :2, txAudioBr :82, rxAudioBr :0, users :1

duration : 40, tx :448753, rx :12884, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 42, tx :472117, rx :13178, txbr :93, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 44, tx :495629, rx :13501, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 46, tx :519670, rx :13945, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 48, tx :540833, rx :14316, txbr :84, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 50, tx :560297, rx :14562, txbr :77, rxbr :0, txAudioBr :66, rxAudioBr :0, users :1

duration : 52, tx :579695, rx :15006, txbr :77, rxbr :1, txAudioBr :63, rxAudioBr :0, users :1

duration : 54, tx :598364, rx :15575, txbr :74, rxbr :2, txAudioBr :62, rxAudioBr :0, users :1

duration : 56, tx :617238, rx :15821, txbr :75, rxbr :0, txAudioBr :63, rxAudioBr :0, users :1

duration : 58, tx :636418, rx :16342, txbr :76, rxbr :2, txAudioBr :62, rxAudioBr :0, users :1

duration : 60, tx :654981, rx :16636, txbr :73, rxbr :1, txAudioBr :62, rxAudioBr :0, users :1

duration : 62, tx :674177, rx :17080, txbr :76, rxbr :1, txAudioBr :64, rxAudioBr :0, users :1

duration : 64, tx :694027, rx :17205, txbr :78, rxbr :0, txAudioBr :62, rxAudioBr :0, users :1

duration : 66, tx :712934, rx :17745, txbr :75, rxbr :2, txAudioBr :63, rxAudioBr :0, users :1

duration : 68, tx :733138, rx :18266, txbr :80, rxbr :2, txAudioBr :68, rxAudioBr :0, users :1

duration : 70, tx :757146, rx :18512, txbr :95, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 72, tx :780751, rx :19004, txbr :93, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

